"sent_no","sent_raw","syuzhet","bing","afinn","nrc"
2897,"I had done two turns when I stopped in one of the larger, emptier expanses of the Common.",0,0,-1,0
2898,"A good way off, on all sides, the traffic turned about me like planets.",1.25,2,5,1
2899,"Usually it oppressed me to reflect that every car contained a nexus of worries, memories and hopes as vital and complicated as my own.",-1,-2,-3,0
2900,"Today I welcomed and forgave everyone.",0.75,0,2,1
2901,"We would all turn out well.",0.8,1,0,0
2902,"We were all bound together in our own overlapping but distinct forms of comedy.",0.25,0,1,-1
2903,"Others might also have a lover living with a death threat.",-1,-1,-4,-1
2904,"But no one else with an arm in a cast had a machine for a love rival.",0.5,0,2,1
2905,"I headed home, north along the High Street, past the burned-out premises of the Anglo-Argentinian Friendship Society, past the stinking black heaps of plastic sacks, trebled in height since I was last this way.",-0.25,-1,0,0
2906,"A German company had launched their bipedal dustmen-automata in Glasgow.",0.25,0,1,0
2907,"Public contempt was aroused because each one wore the perpetual grin of a contented worker.",0.4,0,-2,1
2908,"If Adam could make an origami boat in seconds, it should not have been much of a stretch to have a drone chuck sacks into the mechanical maw of a garbage truck.",-1.5,-1,-1,-2
2909,"But the filth and dust caused failure in the knee and elbow joints, according to the Financial Times, and the cheaper batteries could not survive an eight-hour shift.",-1.2,-2,-4,-2
2910,"Each device cost five years' wages of a dustman.",0.4,0,0,1
2911,"Unlike Adam, it had an exoskeleton and weighed 350 pounds.",0,0,0,0
2912,"The automata were falling behind on the work, and on Sauchiehall Street the bags were piling up.",-0.5,0,-1,-1
2913,"In Hanover, a robot dustman had stepped backwards into the path of an autonomous electric bus.",0.2,1,0,0
2914,"Teething troubles.",-0.75,-1,-2,0
2915,"But in our part of the country, humans were cheaper, and they remained on strike.",-0.75,0,-1,-1
2916,"General outrage had given way to apathy.",-1.6,-2,-6,-1
2917,"Someone said on the radio that the stink was no more remarkable than in Calcutta or Dar es Salaam.",0.25,0,-1,1
2918,"We could all adapt.",0.8,0,0,1
2919,"Peter Gorringe.",0,0,0,0
2920,"Once I had the name, it was easy to find the press reports as I waited with my throbbing wrist in Casualty.",-0.55,-1,-1,-1
2921,"They dated back three years and, as I would guessed, concerned a rape.",-1.6,-2,-6,-1
2922,"As victim, Miranda's name was withheld.",-0.75,0,-3,-1
2923,"In broad outline, the case resembled a thousand others: alcohol and a dispute over consent.",0.05,-1,0,-2
2924,"She went one evening to Gorringe's bedsit in the centre of town.",0,0,0,0
2925,"They knew each other from school, which they had left only months before, but they were not close friends.",0,0,0,0
2926,"That night, alone together, they drank a fair amount and around nine of the clock, after some kissing, which neither side denied, he forced himself on her, according to the prosecution.",-1.6,0,-4,-2
2927,"She tried to fight him off.",-0.5,0,-1,-1
2928,"Both parties agreed that intercourse took place.",0.75,0,1,2
2929,"Gorringe's defence, provided through legal aid, argued that she had been a willing partner.",2.85,1,1,3
2930,"Counsel made much of the fact that she had not called out for help during the alleged assault, nor had she left Gorringe's place until two hours later, or made any distressed phone calls to police, parents or friends.",-1.6,-2,-2,-1
2931,"The prosecution case was that she was in a state of shock.",-1.25,-1,-3,-3
2932,"She had sat on the edge of the bed, half dressed, unable to move or speak.",-0.5,-1,-2,-1
2933,"She left around eleven, went straight home, did not wake her father, lay on her bed crying until she fell asleep.",-0.4,-1,-1,-2
2934,"The next morning she went to the local police station.",-0.25,0,0,1
2935,"It was in Gorringe's story that the particulars of this case emerged.",0,0,0,-1
2936,"He told the court that after they made love, they drank more vodka and lemonade, that the post-coital mood was celebratory.",1.55,2,3,1
2937,"She asked him if he had any objection to her texting her new friend Amelia to announce that she and Peter were an ""item.""",1.35,-1,1,0
2938,"Within a minute there came a reply in the form of a laughing emoticon making the thumbs-up sign.",1.6,0,1,1
2939,"The case for the defence should have been simple.",0,0,0,-1
2940,"But the messages were not on Miranda's phone.",0,0,0,0
2941,"Amelia had been living in a hostel for problem teenagers, and had gone off backpacking and could not be traced.",-0.75,-1,-2,-1
2942,"The phone company in Canada would not release their record of texts without a formal approach from the police.",-0.25,0,0,1
2943,"But the police had targets to meet for solved rape cases and were keen to see Gorringe go down.",-0.35,0,-2,0
2944,"They knew, as the jury did not, that he had previous convictions for shoplifting and affray.",-0.8,0,0,-1
2945,"In evidence, Miranda was emphatic that she had no friend called Amelia and that the story of the text was a fabrication.",0.05,-2,0,0
2946,"Two of Miranda's old school friends gave evidence in court that they had never heard mention of this Amelia.",0,0,0,0
2947,"The prosecution suggested that it was too convenient, a vanishing rootless teenager.",-0.3,1,-1,0
2948,"If she was on a beach in Thailand, and if Miranda was her friend, where were the customary teenage photos and messages?",0.8,0,1,1
2949,"Where was Miranda's original message?",0,0,0,0
2950,"Where was that merry emoticon?",1,1,3,1
2951,"Deleted by Miranda, said the defence.",0,0,0,0
2952,"If the court would suspend proceedings and serve an order on the British subsidiary of the phone company to release its copies of the texts, these disputed versions of a summer evening would be settled.",-1.1,-1,-3,-1
2953,"But the judge, whose manner throughout was impatient, even irritable, was in no mind to let the matter drag on.",-2,-3,-3,-2
2954,"Mr. Gorringe's defence had already had many months to mount their case.",0,0,0,-1
2955,"A court order should have been sought long ago.",0,0,0,0
2956,"Memorably, the judge noted that a young woman who took a bottle of vodka to a young man's room should have been aware of the risks.",0.75,-1,-2,2
2957,"Some press reports portrayed Gorringe as a guilty sort.",-0.75,-1,-3,-1
2958,"He was large, loose-limbed, he lounged in the dock, he did not wear a tie.",0,-1,-3,-1
2959,"He appeared not to be awed by the judge or his court and its procedures.",0.4,1,0,0
2960,"The jury was unanimous in favouring Miranda's story over his.",0.4,0,0,1
2961,"Later, in his summing-up, the judge did not find the accused a credible witness.",0,1,-2,0
2962,"But certain sections of the press were sceptical about Miranda's story.",0.8,-1,-1,0
2963,"The judge was criticised for not putting the matter beyond doubt by calling in her text records.",-0.75,-1,-2,-1
2964,"A week later, before sentencing, there were pleas of mitigation.",-0.65,-1,-2,0
2965,"The headmaster of their school spoke up for both ex-pupils--hardly helpful.",0.75,1,2,0
2966,"Gorringe's mother, who was too scared to be articulate, tried bravely but wept from the witness stand.",1,0,-2,1
2967,"No use at all to her son.",0,0,-1,0
2968,"He rose for sentencing and was impassive.",-0.25,0,-1,0
2969,"Six years.",0,0,0,0
2970,"He shook his head, as the accused often do.",-0.5,0,-2,-1
2971,"If he behaved himself in prison, he would be gone for half his sentence.",-0.75,-1,-4,-2
2972,"The jury had confronted a stark choice.",-0.7,-1,0,0
2973,"Miranda raped and honest, or unmolested and a cruel liar.",-2.25,-2,-8,-1
2974,"Naturally, I could bear neither.",0,0,0,0
2975,"I did not take Gorringe's murderous threats as proof of his innocence, as the intentions of a wronged man looking for redress.",-0.4,-2,-7,1
2976,"A guilty man could be furious at his loss of freedom.",-1.75,-2,-7,-2
2977,"If he could threaten to kill, he could surely rape.",-2.5,-3,-9,-3
2978,"Beyond the either-or was a dangerous middle ground where the half-forgotten student anthropologist in me could free his imagination of all constraint.",-0.8,0,-2,-3
2979,"Grant the insidious power of self-persuasion, mix in some hours of carefree teenage drinking and blurred recall, then it would have been possible for Miranda to feel genuinely that she would been violated, especially if afterwards there were elements of shame; equally possible for Peter Gorringe to convince himself he had permission when he desired it so urgently.",1.75,-2,1,0
2980,"But in the criminal courts, the sword of justice fell on innocence or guilt, not both at once.",-0.45,-3,-4,-1
2981,"The story of the missing texts was particular, inventive, easily verified or disproved.",0.5,1,-2,1
2982,"By telling it to the court, Gorringe as a rapist may have calculated that he had nothing to lose.",-1.25,-1,-4,-1
2983,"A wild fiction and he almost got away with it.",-0.5,-2,0,-1
2984,"If he was innocent, if the texts existed, then the system had let him down.",0.8,0,0,1
2985,"Either way, it had let itself down.",0,0,0,0
2986,"His story should have been checked.",0,0,0,0
2987,"On that, I was with the sceptical press.",0,-1,-2,0
2988,"The blame could lie with an inexperienced legal aid team, too hard-pressed, too sloppy.",-1,-5,-4,-2
2989,"Or with policemen greedy for success.",0,0,0,0
2990,"And certainly with an ill-tempered judge.",-1,0,-2,0
2991,"On my way back from the Common, I slowed as I turned into my road.",-0.25,-1,0,0
2992,"Now I knew as much as Adam.",0,0,0,0
2993,"I had not spoken to him since the evening before.",0,0,0,0
2994,"After a painful, sleepless night, I had got up early to go to the hospital.",-1.5,-1,-2,-1
2995,"As I went through the kitchen I had passed close by him.",0,0,0,0
2996,"He was sitting at the kitchen table as usual, connected to his power line.",0.4,0,0,1
2997,"His eyes were open and had that tranquil, faraway look whenever he retreated into his circuits.",0.35,0,2,1
2998,"I had hesitated there for a whole minute, wondering what I had got into with my purchase.",0.25,0,0,0
2999,"He was far more complicated than I would imagined, and so were my own feelings about him.",-0.5,-1,0,-1
3000,"We had to confront each other, but I was exhausted from two broken nights and needed to get to the hospital.",-2.1,-3,-3,-2
3001,"What I wanted now, returning from my walk, was to retreat to my bedroom for a dose of painkillers and a nap.",-1.05,-1,-1,1
3002,"But he was standing facing me as I came in.",0,0,0,1
3003,"At the sight of my arm suspended in its sling, he gave a cry of astonishment or horror.",-1.85,0,-2,-1
3004,"He came towards me, arms spread.",0,0,0,0
3005,"""Charlie!",0,0,0,0
3006,"I am so sorry.",-0.5,-1,-1,0
3007,"So sorry.",-0.5,-1,-1,0
3008,"What a terrible thing I did.",-0.75,-1,-3,-1
3009,"I honestly did not intend it.",0,0,0,0
3010,"Will you please, please accept my most sincere apologies.""",2.75,1,4,1
3011,"It looked as though he was about to embrace me.",0.5,0,1,1
3012,"With my free hand, I pushed past--I disliked the too-solid feel and went to the sink.",-0.5,0,1,0
3013,"I turned on the tap and bent low to drink deeply.",-0.4,-1,0,0
3014,"When I turned, he was standing close, no more than three or four feet away.",0,0,-1,1
3015,"The moment of apology had passed.",0.6,0,-1,1
3016,"I was determined to look relaxed--not so easy with my arm in a sling.",1.3,2,5,1
3017,"I put my free hand on my hip and looked into his eyes, into the nursery blue with its little black seeds.",0.85,1,1,0
3018,"I still wondered what it meant, that Adam could see, and who or what did the seeing.",0,0,0,0
3019,"A torrent of zeros and ones flashed towards various processors that, in turn, directed a cascade of interpretation towards other centres.",-0.4,-1,0,1
3020,"No mechanistic explanation could help.",0,0,1,0
3021,"It could not resolve the essential difference between us.",1.4,0,2,1
3022,"I had little idea of what passed along my own optic nerve, or where it went next, or how these pulses became an encompassing self-evident visual reality, or who was doing my seeing for me.",-0.4,0,0,2
3023,"Only me.",0,0,0,0
3024,"Whatever the process was, it had the trick of seeming beyond explanation, of creating and sustaining an illuminated part of the one thing in the world we knew for sure--our own experience.",-0.5,-1,0,-1
3025,"It was hard to believe that Adam possessed something like that.",-0.35,0,1,-1
3026,"Easier to believe that he saw in the way a camera does, or the way a microphone is said to listen.",0.8,1,0,0
3027,"There was no one there.",0,0,-1,0
3028,"of himBut as I looked into his eyes, I began to feel unhinged, uncertain.",-1.55,-1,-1,-1
3029,"Despite the clean divide between the living and the inanimate, it remained the case that he and I were bound by the same physical laws.",0.5,1,2,-1
3030,"Perhaps biology gave me no special status at all, and it meant little to say that the figure standing before me was not fully alive.",1.7,0,0,5
3031,"In my fatigue, I felt unmoored, drifting into the oceanic blue and black, moving in two directions at once--towards the uncontrollable future we were making for ourselves where we might finally dissolve our biological identities; at the same time, into the ancient past of an infant universe, where the common inheritance, in diminishing order, was rocks, gases, compounds, elements, forces, energy fields--for both of us, the seeding ground of consciousness in whatever form it took.",-0.25,-1,-2,0
3032,"I came out of this reverie with a start.",0.8,0,0,1
3033,"I confronted an immediate and unpleasant situation and was not inclined to accept Adam as a brother, or even a very distant cousin, however much Stardust we shared.",1.25,-1,0,0
3034,"I had to stand up to him.",0,0,0,0
3035,"I started talking.",0,0,0,0
3036,"I told him how I came by a large sum of money after my mother's death and the sale of her house.",-0.15,-1,-2,0
3037,"How I decided to invest it in a grand experiment, to buy an artificial human, an android, a replicate--I forget which term I used.",0,1,2,-1
3038,"In his presence, they all sounded like insults.",0.4,0,0,1
3039,"I told him exactly how much I paid.",0,0,0,0
3040,"Then I described for him the afternoon when Miranda and I carried him on a stretcher into the house, unpacked him, charged him up, when I tenderly gave him my clothes, and discussed the formation of his personality.",0.5,1,-3,0
3041,"As I went along, I was not certain of my purpose, or why I was talking so fast.",0.8,1,1,0
3042,"It was only when I got there that I knew what I had to say.",0,0,0,0
3043,"My point was this: I had bought him, he was mine, I had decided to share him with Miranda, and it would be our decision, and only ours, to decide when to deactivate him.",0.5,0,1,0
3044,"If he resisted, and especially if he caused injury as he had the night before, then he would have to be returned to the manufacturer for readjustment.",-0.75,-1,-2,0
3045,"I finished by saying that this was Miranda's view, as she expressed it earlier this afternoon, just before we made love.",0.75,1,3,1
3046,"This last intimate detail, for the lowest of reasons, I needed him to know.",-0.25,1,-1,0
3047,"Throughout, he remained impassive, blinking at irregular intervals, holding my gaze.",-0.75,-1,0,-1
3048,"When I finished, nothing changed for half a minute and I began to think I had gone too fast, or spoken gibberish.",-0.5,0,0,-1
3049,"Suddenly he came to life (to life!",0,0,0,0
3050,"), looked down at his feet, then turned and walked a few paces away.",0,0,0,0
3051,"He turned again to look at me, drew breath to speak, changed his mind.",0,0,0,0
3052,"A hand went up to stroke his chin.",-0.25,0,0,-1
3053,"What a performance.",0.4,0,0,0
3054,"Perfect.",0.75,1,3,1
3055,"I was ready to give him my devoted attention.",1.85,1,3,1
3056,"His tone was of the sweetest, most reasonable kind.",1,1,5,1
3057,"""we are in love with the same woman.",0.75,1,3,1
3058,"We can talk about it in a civilised manner, as you just have.",0.4,0,0,1
3059,"Which convinces me that we have passed the point in our friendship when one of us has the power to suspend the consciousness of the other.""",0.9,0,2,2
3060,"I said nothing.",0,0,0,0
3061,"He continued.",0,0,0,0
3062,"""You and Miranda are my oldest friends.",0,0,0,0
3063,"I love you both.",0.75,1,3,1
3064,"My duty to you is to be clear and frank.",0.5,1,1,1
3065,"I mean it when I say how sorry I am I broke a bit of you last night.",-1.25,-2,-2,-1
3066,"I promise it will never happen again.",0.75,1,1,1
3067,"But the next time you reach for my kill switch, I am more than happy to remove your arm entirely, at the ball and socket joint.""",-0.25,0,1,-1
3068,"He said this kindly, as though offering help with some difficult task.",-0.25,0,1,1
3069,"I said, ""That would be messy.",-0.5,-1,0,-1
3070,"And fatal.""",-0.5,-1,-3,-1
3071,"""Oh no.",0,0,-1,0
3072,"There are ways of doing it cleanly and safely.",1,2,1,1
3073,"A practice refined in medieval times.",1.4,1,1,1
3074,"Galen was the first to describe it.",0,0,0,0
3075,"Speed is of the essence.""",0,0,0,0
3076,"""Well, do not take my good arm.""",1.55,2,3,1
3077,"He had been speaking through a smile.",0.75,1,2,1
3078,"Now he began to laugh.",0.5,0,1,1
3079,"So here it was, his first attempt at a joke, and I joined in.",1.2,-1,2,0
3080,"I was in a state of exhaustion and suddenly found it wildly hilarious.",1.1,-1,2,1
3081,"As I passed him on my way to the bedroom he said, ""Seriously.",0,0,0,0
3082,"After last night I came to a decision.",0,0,0,0
3083,"I have found a way to disable the kill switch.",-0.65,-2,-3,-1
3084,"Easier for all of us.""",0.8,1,0,0
3085,"""Good,"" I said, not quite taking this in.",0.75,1,3,1
3086,"""Very sensible.""",0.8,1,0,0
3087,"I entered my room and closed the door behind me.",0,0,0,0
3088,"I kicked off my shoes, and lay on the bed on my back, softly laughing to myself.",0.6,0,1,1
3089,"Then, forgetting about the painkillers, I was asleep in less than two minutes.",-0.4,0,0,0
3090,"The next morning I turned thirty-three.",0,0,0,0
3091,"It rained all day and I worked for nine hours, content to be indoors.",0.85,1,0,1
3092,"For the first time in weeks, my profit for the day was in three figures--just.",0,0,2,0
3093,"At seven I stood up from my desk, stretched, yawned, looked in my drawer for a clean white shirt, then took a bath.",1.55,1,2,3
3094,"I had to hang my arm over the edge to protect the cast from dissolving, but otherwise I was in good shape.",1.25,1,4,3
3095,"I lay in the heat and rising steam, singing snatches of Beatles songs in the tiled echo, the new old Beatles, and occasionally topping up the hot with my healed toe now fit to turn a tap.",0.95,1,1,1
3096,"I soaped myself single-handed.",0,0,0,0
3097,"Not easy.",0.8,1,1,0
3098,"Thirty-three seemed as significant as twenty-one and Miranda was treating me to dinner.",1.1,1,1,1
3099,"We were meeting up in Soho.",0,0,0,0
3100,"The simple prospect of a rendezvous with her raised my spirits.",0.85,0,1,2
3101,"The view I had along the length of my body was uplifting in the misty light.",1,1,2,0
3102,"My penis, capsized above its submerged reef of hair, winked encouragement with a cocky single eye.",0.6,0,0,1
3103,"So it should.",0,0,0,0
3104,"The muscles of my gut and legs looked nicely sculpted.",1.4,1,0,0
3105,"Heroic even.",1,1,3,1
3106,"I wallowed in self-love, happier than I would been in weeks.",0.5,2,3,1
3107,"I would been trying not to think about Adam all day and had almost succeeded.",0.5,1,3,0
3108,"he would been in the kitchen for hours, he was there now--""thinking.""",0,0,0,0
3109,"I did not care.",1,0,2,0
3110,"I sang louder.",-0.25,-1,0,0
3111,"In my twenties, some of my most cheerful times were spent getting ready to go out.",1.3,2,2,0
3112,"It was the anticipation rather than the thing itself.",0.25,0,1,0
3113,"The release from work, the bath, music, clean clothes, white wine, perhaps a pull on a joint.",2.4,2,2,5
3114,"Then stepping out into the evening, free and hungry.",0.25,1,1,-1
3115,"The pads of my fingers were well wrinkled by the time I got out.",0.4,0,0,0
3116,"An adaptation, I would read, of our sea- and river-loving ancestors to enable them to catch fish.",0.85,1,2,3
3117,"I did not believe it, but I liked the story, the way it lay beyond disproof.",0.5,1,2,0
3118,"We did not catch fish with our feet, so toes did not need to wrinkle like that.",0.25,0,2,0
3119,"I dressed in a hurry.",0,0,0,0
3120,"In the kitchen I passed Adam without a word--he did not look round--and put up my umbrella to walk the few hundred yards down a squalid side-street to where my wreck of a car was parked.",-0.75,-1,-2,0
3121,"This short depressing stroll often brought me to my usual lament, to the song of my unhappy lot.",-2.1,-3,-4,-2
3122,"But not tonight.",0,0,0,0
3123,"My car dated from the mid-sixties, a British Leyland Urbala, the first model to do 1,000 miles on a single charge, it had 380,000 on the clock.",0.4,0,0,1
3124,"Rust was eating it away, especially around the dents in the bodywork.",-0.85,-2,0,-1
3125,"The wing mirrors had snapped or been snapped off.",0,0,0,0
3126,"There was a long white rip in the driver's seat and a piece of the steering wheel, from eleven to three of the clock, was missing.",-0.35,-1,-2,0
3127,"Years ago, a girl had been sick on the back seat after a rowdy Indian dinner and not even professional steam-cleaning could erase the scent of vindaloo.",0.15,-2,-2,0
3128,"The Urbala had only two doors and it was awkward to get an adult into the back seat.",-0.5,-1,-2,0
3129,"But there was little to go wrong with these engines and the car ran smooth and fast.",-0.15,1,-2,-1
3130,"It was an automatic and easy to drive with one hand.",0.8,1,1,0
3131,"I took my usual route, singing all the way, to Vauxhall, then downstream with the river on my left, past Lambeth Palace and the abandoned St. Thomas's Hospital, where scores or hundreds of the homeless squatted.",-1.1,0,-4,-1
3132,"The windscreen wiper on the driver's side worked every ten seconds or so.",0.25,1,0,0
3133,"The wiper on the passenger side thumped out a beat to my pop tunes.",0,0,0,-1
3134,"I crossed the Thames by Waterloo Bridge--in both directions, best views in town--then slipped down to take the sinuous curves of the old tram tunnel at speed and burst in triumph into Holborn--not the shortest route to Soho, but my favourite.",1.25,2,9,1
3135,"I was hitting some high notes on a new Lennon song.",0.2,0,0,0
3136,"What was right with me?",0.8,1,0,0
3137,"Thirty-three today and in love.",0.75,1,3,1
3138,"The unaccountable brew of hormone cocktails--endorphins, dopamine, oxytocin and all the rest.",-0.8,0,0,0
3139,"because or effect or association--we knew next to nothing about our passing moods.",0,0,0,0
3140,"It seemed objectionable that they should have a material base.",-0.5,-1,0,-1
3141,"On this particular evening, I had not touched grass or even had a sip of wine--there was nothing in the house.",0.25,0,0,-1
3142,"Yesterday I had been almost thirty-three and in love and I had not felt like this.",1.25,2,5,1
3143,"PS104 up on the morning would never have such an effect.",0,0,0,0
3144,"I should have been sobered by yesterday's exchange with Adam about his kill switch, by all the matters I had not raised with Miranda, by my poor wrist.",-1,-2,-4,0
3145,"But a mood could be a roll of the dice.",-0.25,0,0,0
3146,"Chemical roulette.",0,0,0,0
3147,"Free will demolished, and here I was, feeling free.",0.75,1,2,0
3148,"I parked in Soho Square.",0,0,0,0
3149,"I knew of a three-metre stretch where the yellow lines had been tarred over in error and the space was legal.",-0.75,-1,-1,0
3150,"Most cars would not fit.",0.4,0,1,0
3151,"Our restaurant, a one-room shoebox with fierce strip lighting, was in Greek Street, just a few doors along from the famous L'Escargot.",0,0,2,-1
3152,"There were only seven tables.",0,0,0,0
3153,"In a corner was an open kitchen, a tiny space defined by a brushed-steel counter, where two chefs in white gear cooked in sweaty proximity.",-0.1,-1,0,2
3154,"There was a plongeur, and one waiter to serve and clear tables.",0.5,1,1,-1
3155,"Unless you knew the chef, or knew someone who did, you could not book.",0,0,0,0
3156,"Miranda had a friend at one further remove.",0.55,0,1,0
3157,"On a quiet night it was enough.",0,2,0,1
3158,"She was there before me, already seated, facing the door as I came in.",0,0,0,0
3159,"In front of her was an untouched glass of sparkling water.",0,0,3,0
3160,"Beside it, a small parcel done up with green ribbon.",0,0,0,1
3161,"By the table, in an ice bucket on a stand, was a bottle of champagne, its neck bound in a white napkin.",0.15,0,0,0
3162,"The waiter, who had just drawn the cork, was walking away.",0,0,0,0
3163,"Miranda looked especially elegant, even though she would been at seminars all day and had left the house wearing jeans and a t-shirt.",1,1,2,1
3164,"She would have taken with her a bag of clothes and make-up.",0,0,0,0
3165,"She wore a black pencil skirt and a tight black jacket with boxy shoulders and silver thread woven through the fabric.",-0.25,0,0,-1
3166,"I would never seen her before with lipstick and mascara.",0,0,0,0
3167,"She had made her mouth smaller, in a dark red bow, and dusted away the faint freckles on the bridge of her nose.",-1.4,-2,0,0
3168,"My birthday!",0.8,0,0,1
3169,"At the same time, as I entered the bright white light and closed the restaurant's glass door behind me, I felt a sudden elated detachment.",1.3,2,4,1
3170,"I did not, I could not, love her less.",0.75,1,3,1
3171,"But I no longer had to feel anxious or desperate about her.",-1.5,-2,-6,-2
3172,"I remembered my truisms from the day before.",0,0,0,0
3173,"Here she was, and whatever she was, I would find out and celebrate her, regardless.",0.5,1,3,0
3174,"I could love her, so I thought, and remain immune, unharmed.",1.15,1,4,1
3175,"All this in a flash as I squeezed between two crowded tables to get to her.",-0.6,-1,0,0
3176,"She raised her right hand and in mock formal fashion I bowed and kissed it.",-0.2,0,-2,0
3177,"As I sat down she gazed at my sling with evident pity.",0,-1,-2,1
3178,"""Poor darling.""",0,0,-2,1
3179,"The waiter--he looked sixteen and serious--came with glasses, and filled them while holding his hand behind his back.",0,0,0,0
3180,"A professional.",0.8,0,0,1
3181,"As we raised and clinked them across the table, I said, ""To Adam not breaking more of my bones.""",-0.6,-1,0,0
3182,"""that is rather limiting.""",0,0,0,0
3183,"We laughed, and it seemed as though laughter at the other tables followed and rose with ours.",1.6,0,2,1
3184,"What a wild place we were in.",-0.25,-1,0,-1
3185,"She did not know how much, how little, I knew.",0,0,0,0
3186,"I did not know what to believe about her, whether she was the victim or perpetrator of a crime.",-2,-1,-8,-3
3187,"It did not matter.",0,0,1,0
3188,"We were in love and I remained convinced that even if I came to know the worst, it would make no difference.",0.85,0,0,1
3189,"Love would see us through.",0.75,1,3,1
3190,"It should have been easier, therefore, to broach any of the issues that my cowardice inclined me to suppress.",0.2,-1,0,-2
3191,"And I was on the edge of doing just that, of saying more about my broken scaphoid, when she took my good hand in hers across the white linen.",0.4,0,2,1
3192,"""Yesterday was glorious.""",0.5,1,2,0
3193,"I was giddy.",0.25,-1,-2,0
3194,"It was as if she had proposed that we make love in public, now, across the table.",0.75,1,3,2
3195,"""We could go home right now.""",0.8,1,0,0
3196,"She did a comic little double-take.",0,0,1,0
3197,"""You have not opened your present.""",0.25,0,0,1
3198,"She pushed it across with a forefinger.",0,0,0,0
3199,"While I unwrapped it, our boy waiter refilled the glasses.",0.25,0,0,-1
3200,"I found a small plain cardboard box.",0.6,0,0,0
3201,"Inside was a z-shaped piece of strip metal with padding on the parallel surfaces.",0,0,0,0
3202,"A wrist exerciser.",0,0,0,0
3203,"""For when your plaster comes off.""",0,0,0,0
3204,"I stood and went around the table to kiss her.",0.5,0,2,1
3205,"Someone nearby said, ""Oi-oi!""",0,0,0,0
3206,"Another person made the sound of a barking dog.",0,0,0,0
3207,"I was not bothered.",-0.5,-1,-2,0
3208,"Back in my seat I said, ""Adam says he is disabled his kill switch.""",-1.5,-2,-3,-2
3209,"She leaned forward, suddenly serious.",0.6,0,0,1
3210,"""you have got to get him back to the shop.""",0,0,0,0
3211,"""But he loves you.",1,1,3,0
3212,"He told me.""",0,0,0,0
3213,"""you are making fun of me.""",0.75,1,4,1
3214,"I said, ""If he needs reprogramming, you are the one he will listen to.""",0,0,0,0
3215,"Her tone was plaintive.",0,0,0,0
3216,"""How can he talk about love?",1.15,1,3,2
3217,"This is madness.""",-1,-1,-3,-1
3218,"Our waiter was hovering and heard everything we said next, even though I murmured quickly.",0,0,0,0
3219,"""You helped choose the kind of guy he is--the sort who falls in love with the first woman he sleeps with.""",1.8,1,5,2
3220,"""Oh, Charlie!""",0,0,0,0
3221,"The boy said, ""Have you decided yet, or shall I come back?""",0.25,0,0,-1
3222,"""Stick around.""",0,0,0,0
3223,"We passed a couple of minutes choosing and changing our minds.",0,0,0,0
3224,"I ordered at random a twelve-year-old Haut-Medoc.",0,0,0,0
3225,"It occurred to me that I was the one paying for my birthday treat.",0.8,0,0,1
3226,"I cancelled the order and asked for a twenty-year-old bottle of the same.",-0.8,0,-1,0
3227,"The waiter left and we paused to consider where we were.",0,0,0,0
3228,"Miranda said, ""Are you seeing someone else?""",0,0,0,0
3229,"The question astonished me and for a moment I was stuck for the most reassuring and convincing reply.",2.05,1,2,1
3230,"At the same time, I noticed that the chef, who was also the owner, had come from behind the counter and was making his way between the tables to the door.",0,0,0,0
3231,"The waiter was following him.",0,0,0,0
3232,"I glanced over my shoulder and saw through the glass two figures out on the pavement.",0,0,0,1
3233,"One of them was folding away an umbrella.",0,0,0,0
3234,"I must have looked evasive to Miranda.",-0.6,-1,0,0
3235,"She added, ""Just be honest with me.",0.75,1,2,1
3236,"I do not mind.""",0,0,0,0
3237,"She clearly did mind and I gave her my full attention.",0.75,1,1,2
3238,"""Absolutely not.",0,0,0,0
3239,"you are all I care about.""",1,0,2,0
3240,"""When I am out all day at seminars?""",0,0,0,0
3241,"""I work and I think about you.""",0.25,1,0,0
3242,"I felt a draught of cool air on my neck.",0.75,1,1,1
3243,"Miranda's gaze shifted from me to the door and I felt I could turn again and look.",0,0,0,0
3244,"The chef was helping two elderly men out of their long raincoats, which he dumped into the arms of the waiter.",-0.25,0,0,0
3245,"The men were led to their table--set apart and the only one with a lit candle.",0.4,1,0,0
3246,"The taller man had swept-back silvery hair and wore a brown silk scarf loosely knotted around his neck and some kind of artist's cotton jacket that drooped from his shoulders.",0.85,-1,2,1
3247,"A chair was held out for him and before sitting he looked around the room and nodded to himself.",0,0,0,0
3248,"No one else in the restaurant seemed interested.",0.5,0,1,1
3249,"The man's style of bohemian grandeur was not so unusual in Soho.",0.75,0,0,1
3250,"But I was excited.",0.75,1,3,1
3251,"I turned back to Miranda, still aware of her surprising query, and placed my hand on hers.",0,0,0,0
3252,"""Do you know who he is?""",0,0,0,0
3253,"""No idea.""",0,0,-1,0
3254,"""Alan Turing.""",0,0,0,0
3255,"""Your hero.""",0.75,1,2,1
3256,"""And Thomas Reah, the physicist.",0,0,0,0
3257,"Invented loop quantum gravity more or less single-handed.""",0.6,0,0,0
3258,"""Go and say hello.""",0,0,0,0
3259,"""That would not be cool.""",0.75,1,1,1
3260,"So we returned to the question of the someone else I was not seeing, and once she appeared satisfied, we went back to Adam and discussed how we might overcome his resistance to the kill switch.",-0.15,-1,-1,0
3261,"She suggested hiding the charging cables until he was too weak to resist us.",-1.1,-1,-3,-1
3262,"I reminded her of his instant origami sailboat.",0,0,0,0
